OOGRWF


  z:      0.400D+01
  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.8002D+01


      r          p( 1s )       q( 1s )     npt
  0.1343D+01    0.9961D-01   -0.1454D-02   400
  0.1356D+01    0.9565D-01   -0.1396D-02   400
  0.1368D+01    0.9181D-01   -0.1340D-02   400
  0.1381D+01    0.8809D-01   -0.1286D-02   400
  0.1394D+01    0.8449D-01   -0.1233D-02   400
  0.1407D+01    0.8099D-01   -0.1182D-02   400
  0.1420D+01    0.7762D-01   -0.1133D-02   400
  0.1433D+01    0.7435D-01   -0.1085D-02   400
  0.1446D+01    0.7119D-01   -0.1039D-02   400
  0.1459D+01    0.6813D-01   -0.9945D-03   400
  0.1472D+01    0.6518D-01   -0.9514D-03   400
  0.1486D+01    0.6233D-01   -0.9098D-03   400
  0.1499D+01    0.5957D-01   -0.8697D-03   400
  0.1513D+01    0.5692D-01   -0.8309D-03   400
  0.1527D+01    0.5436D-01   -0.7935D-03   400
  0.1541D+01    0.5189D-01   -0.7575D-03   400
  0.1555D+01    0.4951D-01   -0.7227D-03   400
  0.1569D+01    0.4722D-01   -0.6893D-03   400
  0.1583D+01    0.4502D-01   -0.6571D-03   400
  0.1597D+01    0.4289D-01   -0.6262D-03   400
  0.1612D+01    0.4085D-01   -0.5964D-03   400
  0.1626D+01    0.3889D-01   -0.5677D-03   400
  0.1641D+01    0.3701D-01   -0.5402D-03   400
  0.1656D+01    0.3520D-01   -0.5138D-03   400
  0.1671D+01    0.3346D-01   -0.4885D-03   400
  0.1686D+01    0.3179D-01   -0.4641D-03   400
  0.1701D+01    0.3020D-01   -0.4408D-03   400
  0.1716D+01    0.2867D-01   -0.4185D-03   400
  0.1731D+01    0.2720D-01   -0.3970D-03   400
  0.1747D+01    0.2579D-01   -0.3765D-03   400
  0.1762D+01    0.2445D-01   -0.3569D-03   400
  0.1778D+01    0.2316D-01   -0.3382D-03   400
  0.1794D+01    0.2194D-01   -0.3202D-03   400
  0.1810D+01    0.2076D-01   -0.3031D-03   400
  0.1826D+01    0.1964D-01   -0.2867D-03   400
  0.1842D+01    0.1857D-01   -0.2711D-03   400
  0.1859D+01    0.1755D-01   -0.2562D-03   400
  0.1875D+01    0.1658D-01   -0.2420D-03   400
  0.1892D+01    0.1565D-01   -0.2284D-03   400
  0.1908D+01    0.1476D-01   -0.2155D-03   400
  0.1925D+01    0.1392D-01   -0.2032D-03   400
  0.1942D+01    0.1312D-01   -0.1916D-03   400
  0.1959D+01    0.1236D-01   -0.1805D-03   400
  0.1977D+01    0.1164D-01   -0.1699D-03   400
  0.1994D+01    0.1095D-01   -0.1599D-03   400
