OOGRWF


  z:      0.400D+01
  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.8002D+01


      r          p( 1s )       q( 1s )     npt
  0.7646D+00    0.8278D+00    0.5806D-02   400
  0.7725D+00    0.8317D+00    0.5712D-02   400
  0.7805D+00    0.8356D+00    0.5617D-02   400
  0.7886D+00    0.8393D+00    0.5522D-02   400
  0.7967D+00    0.8428D+00    0.5426D-02   400
  0.8049D+00    0.8463D+00    0.5330D-02   400
  0.8131D+00    0.8495D+00    0.5234D-02   400
  0.8214D+00    0.8527D+00    0.5137D-02   400
  0.8298D+00    0.8557D+00    0.5040D-02   400
  0.8382D+00    0.8586D+00    0.4943D-02   400
  0.8467D+00    0.8613D+00    0.4846D-02   400
  0.8553D+00    0.8639D+00    0.4749D-02   400
  0.8639D+00    0.8663D+00    0.4652D-02   400
  0.8726D+00    0.8686D+00    0.4554D-02   400
  0.8814D+00    0.8707D+00    0.4457D-02   400
  0.8902D+00    0.8727D+00    0.4359D-02   400
  0.8991D+00    0.8746D+00    0.4262D-02   400
  0.9081D+00    0.8762D+00    0.4165D-02   400
  0.9172D+00    0.8777D+00    0.4067D-02   400
  0.9263D+00    0.8791D+00    0.3970D-02   400
  0.9355D+00    0.8803D+00    0.3874D-02   400
  0.9447D+00    0.8813D+00    0.3777D-02   400
  0.9541D+00    0.8822D+00    0.3681D-02   400
  0.9635D+00    0.8829D+00    0.3585D-02   400
  0.9729D+00    0.8834D+00    0.3489D-02   400
  0.9825D+00    0.8838D+00    0.3394D-02   400
  0.9921D+00    0.8840D+00    0.3300D-02   400
  0.1002D+01    0.8841D+00    0.3205D-02   400
  0.1012D+01    0.8839D+00    0.3111D-02   400
  0.1021D+01    0.8837D+00    0.3018D-02   400
  0.1031D+01    0.8832D+00    0.2926D-02   400
  0.1041D+01    0.8826D+00    0.2833D-02   400
  0.1052D+01    0.8818D+00    0.2742D-02   400
  0.1062D+01    0.8808D+00    0.2651D-02   400
  0.1072D+01    0.8797D+00    0.2561D-02   400
  0.1082D+01    0.8784D+00    0.2472D-02   400
  0.1093D+01    0.8769D+00    0.2383D-02   400
  0.1103D+01    0.8752D+00    0.2295D-02   400
  0.1114D+01    0.8734D+00    0.2208D-02   400
  0.1124D+01    0.8714D+00    0.2122D-02   400
  0.1135D+01    0.8693D+00    0.2037D-02   400
  0.1146D+01    0.8670D+00    0.1953D-02   400
  0.1157D+01    0.8645D+00    0.1869D-02   400
  0.1168D+01    0.8618D+00    0.1787D-02   400
  0.1179D+01    0.8590D+00    0.1705D-02   400
  0.1190D+01    0.8560D+00    0.1625D-02   400
  0.1201D+01    0.8529D+00    0.1545D-02   400
  0.1213D+01    0.8495D+00    0.1467D-02   400
  0.1224D+01    0.8461D+00    0.1390D-02   400
  0.1236D+01    0.8424D+00    0.1313D-02   400
  0.1247D+01    0.8386D+00    0.1238D-02   400
  0.1259D+01    0.8347D+00    0.1164D-02   400
  0.1271D+01    0.8306D+00    0.1092D-02   400
  0.1283D+01    0.8263D+00    0.1020D-02   400
  0.1295D+01    0.8219D+00    0.9499D-03   400
  0.1307D+01    0.8173D+00    0.8808D-03   400
  0.1319D+01    0.8125D+00    0.8130D-03   400
  0.1331D+01    0.8077D+00    0.7464D-03   400
  0.1343D+01    0.8027D+00    0.6811D-03   400
  0.1356D+01    0.7975D+00    0.6170D-03   400
  0.1368D+01    0.7922D+00    0.5543D-03   400
  0.1381D+01    0.7867D+00    0.4929D-03   400
  0.1394D+01    0.7811D+00    0.4328D-03   400
  0.1407D+01    0.7754D+00    0.3741D-03   400
  0.1420D+01    0.7696D+00    0.3166D-03   400
  0.1433D+01    0.7636D+00    0.2606D-03   400
  0.1446D+01    0.7575D+00    0.2059D-03   400
  0.1459D+01    0.7513D+00    0.1526D-03   400
  0.1472D+01    0.7449D+00    0.1006D-03   400
  0.1486D+01    0.7384D+00    0.5002D-04   400
  0.1499D+01    0.7319D+00    0.8197D-06   400
  0.1513D+01    0.7252D+00   -0.4700D-04   400
  0.1527D+01    0.7183D+00   -0.9343D-04   400
  0.1541D+01    0.7114D+00   -0.1385D-03   400
  0.1555D+01    0.7044D+00   -0.1821D-03   400
  0.1569D+01    0.6973D+00   -0.2244D-03   400
  0.1583D+01    0.6901D+00   -0.2653D-03   400
  0.1597D+01    0.6828D+00   -0.3048D-03   400
  0.1612D+01    0.6754D+00   -0.3430D-03   400
  0.1626D+01    0.6679D+00   -0.3797D-03   400
  0.1641D+01    0.6604D+00   -0.4151D-03   400
  0.1656D+01    0.6527D+00   -0.4492D-03   400
  0.1671D+01    0.6450D+00   -0.4819D-03   400
  0.1686D+01    0.6373D+00   -0.5132D-03   400
  0.1701D+01    0.6294D+00   -0.5432D-03   400
  0.1716D+01    0.6215D+00   -0.5719D-03   400
  0.1731D+01    0.6135D+00   -0.5993D-03   400
  0.1747D+01    0.6055D+00   -0.6254D-03   400
  0.1762D+01    0.5974D+00   -0.6502D-03   400
  0.1778D+01    0.5893D+00   -0.6737D-03   400
  0.1794D+01    0.5811D+00   -0.6959D-03   400
  0.1810D+01    0.5729D+00   -0.7169D-03   400
  0.1826D+01    0.5647D+00   -0.7367D-03   400
  0.1842D+01    0.5564D+00   -0.7553D-03   400
  0.1859D+01    0.5481D+00   -0.7727D-03   400
  0.1875D+01    0.5398D+00   -0.7888D-03   400
  0.1892D+01    0.5314D+00   -0.8039D-03   400
  0.1908D+01    0.5231D+00   -0.8178D-03   400
  0.1925D+01    0.5147D+00   -0.8305D-03   400
  0.1942D+01    0.5063D+00   -0.8422D-03   400
  0.1959D+01    0.4979D+00   -0.8528D-03   400
  0.1977D+01    0.4896D+00   -0.8623D-03   400
  0.1994D+01    0.4812D+00   -0.8707D-03   400
  0.2012D+01    0.4728D+00   -0.8782D-03   400
  0.2029D+01    0.4644D+00   -0.8847D-03   400
  0.2047D+01    0.4561D+00   -0.8901D-03   400
  0.2065D+01    0.4477D+00   -0.8947D-03   400
  0.2083D+01    0.4394D+00   -0.8983D-03   400
  0.2101D+01    0.4311D+00   -0.9010D-03   400
  0.2120D+01    0.4229D+00   -0.9028D-03   400
  0.2138D+01    0.4147D+00   -0.9038D-03   400
  0.2157D+01    0.4065D+00   -0.9040D-03   400
  0.2176D+01    0.3983D+00   -0.9033D-03   400
  0.2195D+01    0.3902D+00   -0.9019D-03   400
  0.2214D+01    0.3821D+00   -0.8997D-03   400
  0.2233D+01    0.3741D+00   -0.8968D-03   400
  0.2252D+01    0.3662D+00   -0.8931D-03   400
  0.2272D+01    0.3583D+00   -0.8888D-03   400
  0.2292D+01    0.3504D+00   -0.8839D-03   400
  0.2311D+01    0.3426D+00   -0.8783D-03   400
  0.2331D+01    0.3349D+00   -0.8721D-03   400
  0.2352D+01    0.3273D+00   -0.8654D-03   400
  0.2372D+01    0.3197D+00   -0.8581D-03   400
  0.2392D+01    0.3122D+00   -0.8502D-03   400
  0.2413D+01    0.3047D+00   -0.8419D-03   400
  0.2434D+01    0.2974D+00   -0.8331D-03   400
  0.2455D+01    0.2901D+00   -0.8238D-03   400
  0.2476D+01    0.2829D+00   -0.8142D-03   400
  0.2497D+01    0.2758D+00   -0.8041D-03   400
  0.2519D+01    0.2688D+00   -0.7936D-03   400
  0.2540D+01    0.2618D+00   -0.7828D-03   400
  0.2562D+01    0.2550D+00   -0.7717D-03   400
  0.2584D+01    0.2482D+00   -0.7602D-03   400
  0.2606D+01    0.2415D+00   -0.7485D-03   400
  0.2629D+01    0.2350D+00   -0.7365D-03   400
  0.2651D+01    0.2285D+00   -0.7243D-03   400
  0.2674D+01    0.2221D+00   -0.7118D-03   400
  0.2697D+01    0.2158D+00   -0.6992D-03   400
  0.2720D+01    0.2096D+00   -0.6864D-03   400
  0.2743D+01    0.2036D+00   -0.6734D-03   400
  0.2766D+01    0.1976D+00   -0.6603D-03   400
  0.2790D+01    0.1917D+00   -0.6471D-03   400
  0.2813D+01    0.1860D+00   -0.6338D-03   400
  0.2837D+01    0.1803D+00   -0.6204D-03   400
  0.2862D+01    0.1747D+00   -0.6069D-03   400
  0.2886D+01    0.1693D+00   -0.5934D-03   400
  0.2910D+01    0.1639D+00   -0.5799D-03   400
  0.2935D+01    0.1587D+00   -0.5664D-03   400
  0.2960D+01    0.1536D+00   -0.5529D-03   400
  0.2985D+01    0.1485D+00   -0.5394D-03   400
  0.3010D+01    0.1436D+00   -0.5260D-03   400
  0.3036D+01    0.1388D+00   -0.5126D-03   400
  0.3061D+01    0.1341D+00   -0.4992D-03   400
  0.3087D+01    0.1295D+00   -0.4860D-03   400
  0.3113D+01    0.1250D+00   -0.4728D-03   400
  0.3140D+01    0.1206D+00   -0.4597D-03   400
  0.3166D+01    0.1163D+00   -0.4468D-03   400
  0.3193D+01    0.1121D+00   -0.4340D-03   400
  0.3220D+01    0.1081D+00   -0.4213D-03   400
  0.3247D+01    0.1041D+00   -0.4088D-03   400
  0.3274D+01    0.1002D+00   -0.3964D-03   400
  0.3302D+01    0.9644D-01   -0.3842D-03   400
  0.3329D+01    0.9278D-01   -0.3721D-03   400
  0.3357D+01    0.8921D-01   -0.3603D-03   400
  0.3386D+01    0.8574D-01   -0.3486D-03   400
  0.3414D+01    0.8237D-01   -0.3371D-03   400
  0.3443D+01    0.7910D-01   -0.3258D-03   400
  0.3471D+01    0.7592D-01   -0.3147D-03   400
  0.3501D+01    0.7283D-01   -0.3038D-03   400
  0.3530D+01    0.6984D-01   -0.2932D-03   400
  0.3559D+01    0.6694D-01   -0.2827D-03   400
  0.3589D+01    0.6413D-01   -0.2725D-03   400
  0.3619D+01    0.6141D-01   -0.2625D-03   400
  0.3649D+01    0.5878D-01   -0.2527D-03   400
  0.3680D+01    0.5623D-01   -0.2431D-03   400
  0.3710D+01    0.5377D-01   -0.2338D-03   400
  0.3741D+01    0.5139D-01   -0.2247D-03   400
  0.3773D+01    0.4909D-01   -0.2158D-03   400
  0.3804D+01    0.4687D-01   -0.2072D-03   400
  0.3836D+01    0.4473D-01   -0.1988D-03   400
  0.3868D+01    0.4266D-01   -0.1906D-03   400
  0.3900D+01    0.4067D-01   -0.1827D-03   400
  0.3932D+01    0.3875D-01   -0.1750D-03   400
  0.3965D+01    0.3691D-01   -0.1675D-03   400
  0.3998D+01    0.3513D-01   -0.1602D-03   400
  0.4031D+01    0.3342D-01   -0.1532D-03   400
  0.4064D+01    0.3178D-01   -0.1464D-03   400
  0.4098D+01    0.3020D-01   -0.1398D-03   400
  0.4132D+01    0.2869D-01   -0.1334D-03   400
  0.4166D+01    0.2724D-01   -0.1272D-03   400
  0.4201D+01    0.2584D-01   -0.1213D-03   400
  0.4236D+01    0.2451D-01   -0.1155D-03   400
  0.4271D+01    0.2323D-01   -0.1100D-03   400
  0.4306D+01    0.2200D-01   -0.1047D-03   400
  0.4342D+01    0.2083D-01   -0.9951D-04   400
  0.4377D+01    0.1971D-01   -0.9457D-04   400
  0.4414D+01    0.1864D-01   -0.8981D-04   400
  0.4450D+01    0.1762D-01   -0.8524D-04   400
  0.4487D+01    0.1664D-01   -0.8085D-04   400
  0.4524D+01    0.1571D-01   -0.7664D-04   400
  0.4561D+01    0.1482D-01   -0.7260D-04   400
  0.4599D+01    0.1397D-01   -0.6873D-04   400
  0.4637D+01    0.1317D-01   -0.6503D-04   400
  0.4675D+01    0.1240D-01   -0.6148D-04   400
  0.4713D+01    0.1167D-01   -0.5809D-04   400
  0.4752D+01    0.1098D-01   -0.5485D-04   400
  0.4791D+01    0.1032D-01   -0.5176D-04   400
  0.4830D+01    0.9698D-02   -0.4881D-04   400
  0.4870D+01    0.9106D-02   -0.4599D-04   400
  0.4910D+01    0.8544D-02   -0.4331D-04   400
  0.4950D+01    0.8012D-02   -0.4076D-04   400
  0.4991D+01    0.7509D-02   -0.3834D-04   400
  0.5032D+01    0.7032D-02   -0.3603D-04   400
  0.5073D+01    0.6582D-02   -0.3384D-04   400
  0.5115D+01    0.6156D-02   -0.3176D-04   400
  0.5157D+01    0.5754D-02   -0.2978D-04   400
  0.5199D+01    0.5375D-02   -0.2791D-04   400
  0.5242D+01    0.5017D-02   -0.2614D-04   400
  0.5284D+01    0.4680D-02   -0.2447D-04   400
  0.5328D+01    0.4363D-02   -0.2288D-04   400


   state:    2p 
  energy:    0.2000D+01


      r          p( 2p )       q( 2p )     npt
  0.0000D+00    0.0000D+00   -0.0000D+00   400
  0.1953D-02    0.2485D-04   -0.1814D-06   400
  0.3922D-02    0.9978D-04   -0.7282D-06   400
  0.5905D-02    0.2254D-03   -0.1645D-05   400
  0.7905D-02    0.4021D-03   -0.2935D-05   400
  0.9919D-02    0.6307D-03   -0.4603D-05   400
  0.1195D-01    0.9116D-03   -0.6653D-05   400
  0.1400D-01    0.1245D-02   -0.9089D-05   400
  0.1606D-01    0.1633D-02   -0.1192D-04   400
  0.1814D-01    0.2074D-02   -0.1514D-04   400
  0.2023D-01    0.2570D-02   -0.1875D-04   400
  0.2234D-01    0.3121D-02   -0.2278D-04   400
  0.2447D-01    0.3728D-02   -0.2720D-04   400
  0.2662D-01    0.4391D-02   -0.3204D-04   400
  0.2878D-01    0.5110D-02   -0.3729D-04   400
  0.3095D-01    0.5887D-02   -0.4297D-04   400
  0.3315D-01    0.6722D-02   -0.4906D-04   400
  0.3536D-01    0.7616D-02   -0.5558D-04   400
  0.3759D-01    0.8568D-02   -0.6252D-04   400
  0.3984D-01    0.9579D-02   -0.6991D-04   400
  0.4210D-01    0.1065D-01   -0.7773D-04   400
  0.4438D-01    0.1178D-01   -0.8599D-04   400
  0.4668D-01    0.1298D-01   -0.9469D-04   400
  0.4900D-01    0.1423D-01   -0.1038D-03   400
  0.5134D-01    0.1555D-01   -0.1134D-03   400
  0.5369D-01    0.1692D-01   -0.1235D-03   400
  0.5606D-01    0.1837D-01   -0.1340D-03   400
  0.5846D-01    0.1987D-01   -0.1450D-03   400
  0.6087D-01    0.2144D-01   -0.1564D-03   400
  0.6329D-01    0.2307D-01   -0.1684D-03   400
  0.6574D-01    0.2477D-01   -0.1807D-03   400
  0.6821D-01    0.2653D-01   -0.1936D-03   400
  0.7069D-01    0.2836D-01   -0.2069D-03   400
  0.7320D-01    0.3025D-01   -0.2208D-03   400
  0.7573D-01    0.3221D-01   -0.2351D-03   400
  0.7827D-01    0.3424D-01   -0.2498D-03   400
  0.8083D-01    0.3633D-01   -0.2651D-03   400
  0.8342D-01    0.3849D-01   -0.2809D-03   400
  0.8602D-01    0.4072D-01   -0.2972D-03   400
  0.8865D-01    0.4301D-01   -0.3139D-03   400
  0.9129D-01    0.4538D-01   -0.3312D-03   400
  0.9396D-01    0.4781D-01   -0.3489D-03   400
  0.9665D-01    0.5032D-01   -0.3672D-03   400
  0.9936D-01    0.5289D-01   -0.3860D-03   400
  0.1021D+00    0.5553D-01   -0.4052D-03   400
  0.1048D+00    0.5824D-01   -0.4250D-03   400
  0.1076D+00    0.6102D-01   -0.4453D-03   400
  0.1104D+00    0.6387D-01   -0.4661D-03   400
  0.1132D+00    0.6679D-01   -0.4874D-03   400
  0.1161D+00    0.6979D-01   -0.5093D-03   400
  0.1189D+00    0.7285D-01   -0.5316D-03   400
  0.1218D+00    0.7598D-01   -0.5545D-03   400
  0.1247D+00    0.7919D-01   -0.5779D-03   400
  0.1276D+00    0.8247D-01   -0.6018D-03   400
  0.1306D+00    0.8582D-01   -0.6263D-03   400
  0.1336D+00    0.8924D-01   -0.6512D-03   400
  0.1365D+00    0.9273D-01   -0.6767D-03   400
  0.1396D+00    0.9629D-01   -0.7027D-03   400
  0.1426D+00    0.9992D-01   -0.7292D-03   400
  0.1457D+00    0.1036D+00   -0.7563D-03   400
  0.1488D+00    0.1074D+00   -0.7838D-03   400
  0.1519D+00    0.1113D+00   -0.8119D-03   400
  0.1550D+00    0.1152D+00   -0.8406D-03   400
  0.1582D+00    0.1192D+00   -0.8697D-03   400
  0.1614D+00    0.1232D+00   -0.8993D-03   400
  0.1646D+00    0.1274D+00   -0.9295D-03   400
  0.1678D+00    0.1316D+00   -0.9602D-03   400
  0.1711D+00    0.1359D+00   -0.9914D-03   400
  0.1744D+00    0.1402D+00   -0.1023D-02   400
  0.1777D+00    0.1446D+00   -0.1055D-02   400
  0.1810D+00    0.1491D+00   -0.1088D-02   400
  0.1844D+00    0.1537D+00   -0.1121D-02   400
  0.1878D+00    0.1583D+00   -0.1155D-02   400
  0.1912D+00    0.1630D+00   -0.1190D-02   400
  0.1947D+00    0.1678D+00   -0.1224D-02   400
  0.1981D+00    0.1726D+00   -0.1260D-02   400
  0.2016D+00    0.1775D+00   -0.1295D-02   400
  0.2052D+00    0.1825D+00   -0.1332D-02   400
  0.2087D+00    0.1875D+00   -0.1369D-02   400
  0.2123D+00    0.1926D+00   -0.1406D-02   400
  0.2159D+00    0.1978D+00   -0.1444D-02   400
  0.2196D+00    0.2031D+00   -0.1482D-02   400
  0.2232D+00    0.2084D+00   -0.1521D-02   400
  0.2269D+00    0.2137D+00   -0.1560D-02   400
  0.2307D+00    0.2192D+00   -0.1599D-02   400
  0.2344D+00    0.2247D+00   -0.1640D-02   400
  0.2382D+00    0.2302D+00   -0.1680D-02   400
  0.2420D+00    0.2359D+00   -0.1721D-02   400
  0.2459D+00    0.2415D+00   -0.1763D-02   400
  0.2497D+00    0.2473D+00   -0.1805D-02   400
  0.2536D+00    0.2531D+00   -0.1847D-02   400
  0.2576D+00    0.2590D+00   -0.1890D-02   400
  0.2615D+00    0.2649D+00   -0.1933D-02   400
  0.2655D+00    0.2709D+00   -0.1977D-02   400
  0.2696D+00    0.2769D+00   -0.2021D-02   400
  0.2736D+00    0.2830D+00   -0.2065D-02   400
  0.2777D+00    0.2892D+00   -0.2110D-02   400
  0.2818D+00    0.2954D+00   -0.2155D-02   400
  0.2860D+00    0.3016D+00   -0.2201D-02   400
  0.2902D+00    0.3079D+00   -0.2247D-02   400
  0.2944D+00    0.3143D+00   -0.2293D-02   400
  0.2986D+00    0.3207D+00   -0.2340D-02   400
  0.3029D+00    0.3271D+00   -0.2387D-02   400
  0.3073D+00    0.3336D+00   -0.2435D-02   400
  0.3116D+00    0.3402D+00   -0.2483D-02   400
  0.3160D+00    0.3468D+00   -0.2531D-02   400
  0.3204D+00    0.3534D+00   -0.2579D-02   400
  0.3249D+00    0.3601D+00   -0.2628D-02   400
  0.3294D+00    0.3668D+00   -0.2677D-02   400
  0.3339D+00    0.3735D+00   -0.2726D-02   400
  0.3385D+00    0.3803D+00   -0.2776D-02   400
  0.3430D+00    0.3872D+00   -0.2825D-02   400
  0.3477D+00    0.3940D+00   -0.2875D-02   400
  0.3524D+00    0.4009D+00   -0.2926D-02   400
  0.3571D+00    0.4078D+00   -0.2976D-02   400
  0.3618D+00    0.4148D+00   -0.3027D-02   400
  0.3666D+00    0.4218D+00   -0.3078D-02   400
  0.3714D+00    0.4288D+00   -0.3129D-02   400
  0.3763D+00    0.4358D+00   -0.3180D-02   400
  0.3811D+00    0.4428D+00   -0.3232D-02   400
  0.3861D+00    0.4499D+00   -0.3283D-02   400
  0.3910D+00    0.4570D+00   -0.3335D-02   400
  0.3961D+00    0.4641D+00   -0.3387D-02   400
  0.4011D+00    0.4712D+00   -0.3439D-02   400
  0.4062D+00    0.4784D+00   -0.3491D-02   400
  0.4113D+00    0.4855D+00   -0.3543D-02   400
  0.4165D+00    0.4927D+00   -0.3595D-02   400
  0.4217D+00    0.4998D+00   -0.3648D-02   400
  0.4269D+00    0.5070D+00   -0.3700D-02   400
  0.4322D+00    0.5142D+00   -0.3752D-02   400
  0.4376D+00    0.5213D+00   -0.3805D-02   400
  0.4429D+00    0.5285D+00   -0.3857D-02   400
  0.4483D+00    0.5357D+00   -0.3909D-02   400
  0.4538D+00    0.5428D+00   -0.3962D-02   400
  0.4593D+00    0.5500D+00   -0.4014D-02   400
  0.4648D+00    0.5571D+00   -0.4066D-02   400
  0.4704D+00    0.5643D+00   -0.4118D-02   400
  0.4760D+00    0.5714D+00   -0.4170D-02   400
  0.4817D+00    0.5785D+00   -0.4222D-02   400
  0.4874D+00    0.5855D+00   -0.4273D-02   400
  0.4932D+00    0.5926D+00   -0.4325D-02   400
  0.4990D+00    0.5996D+00   -0.4376D-02   400
  0.5049D+00    0.6066D+00   -0.4427D-02   400
  0.5108D+00    0.6136D+00   -0.4478D-02   400
  0.5167D+00    0.6206D+00   -0.4529D-02   400
  0.5227D+00    0.6275D+00   -0.4579D-02   400
  0.5287D+00    0.6343D+00   -0.4629D-02   400
  0.5348D+00    0.6412D+00   -0.4679D-02   400
  0.5409D+00    0.6480D+00   -0.4729D-02   400
  0.5471D+00    0.6547D+00   -0.4778D-02   400
  0.5533D+00    0.6614D+00   -0.4827D-02   400
  0.5596D+00    0.6680D+00   -0.4875D-02   400
  0.5659D+00    0.6746D+00   -0.4923D-02   400
  0.5723D+00    0.6812D+00   -0.4971D-02   400
  0.5787D+00    0.6877D+00   -0.5018D-02   400
  0.5852D+00    0.6941D+00   -0.5065D-02   400
  0.5917D+00    0.7005D+00   -0.5112D-02   400
  0.5983D+00    0.7067D+00   -0.5158D-02   400
  0.6049D+00    0.7130D+00   -0.5203D-02   400
  0.6116D+00    0.7191D+00   -0.5248D-02   400
  0.6184D+00    0.7252D+00   -0.5292D-02   400
  0.6251D+00    0.7312D+00   -0.5336D-02   400
  0.6320D+00    0.7372D+00   -0.5380D-02   400
  0.6389D+00    0.7430D+00   -0.5422D-02   400
  0.6458D+00    0.7488D+00   -0.5464D-02   400
  0.6528D+00    0.7545D+00   -0.5506D-02   400
  0.6599D+00    0.7600D+00   -0.5547D-02   400
  0.6670D+00    0.7655D+00   -0.5587D-02   400
  0.6741D+00    0.7710D+00   -0.5626D-02   400
  0.6814D+00    0.7763D+00   -0.5665D-02   400
  0.6886D+00    0.7815D+00   -0.5703D-02   400
  0.6960D+00    0.7866D+00   -0.5740D-02   400
  0.7034D+00    0.7916D+00   -0.5777D-02   400
  0.7108D+00    0.7965D+00   -0.5813D-02   400
  0.7183D+00    0.8013D+00   -0.5848D-02   400
  0.7259D+00    0.8060D+00   -0.5882D-02   400
  0.7335D+00    0.8105D+00   -0.5915D-02   400
  0.7412D+00    0.8150D+00   -0.5947D-02   400
  0.7489D+00    0.8193D+00   -0.5979D-02   400
  0.7567D+00    0.8235D+00   -0.6010D-02   400
  0.7646D+00    0.8276D+00   -0.6040D-02   400
  0.7725D+00    0.8315D+00   -0.6068D-02   400
  0.7805D+00    0.8354D+00   -0.6096D-02   400
  0.7886D+00    0.8391D+00   -0.6123D-02   400
  0.7967D+00    0.8426D+00   -0.6149D-02   400
  0.8049D+00    0.8461D+00   -0.6174D-02   400
  0.8131D+00    0.8494D+00   -0.6199D-02   400
  0.8214D+00    0.8525D+00   -0.6222D-02   400
  0.8298D+00    0.8556D+00   -0.6244D-02   400
  0.8382D+00    0.8584D+00   -0.6265D-02   400
  0.8467D+00    0.8612D+00   -0.6285D-02   400
  0.8553D+00    0.8637D+00   -0.6303D-02   400
  0.8639D+00    0.8662D+00   -0.6321D-02   400
  0.8726D+00    0.8685D+00   -0.6338D-02   400
  0.8814D+00    0.8706D+00   -0.6354D-02   400
  0.8902D+00    0.8726D+00   -0.6368D-02   400
  0.8991D+00    0.8744D+00   -0.6381D-02   400
  0.9081D+00    0.8761D+00   -0.6394D-02   400
  0.9172D+00    0.8776D+00   -0.6405D-02   400
  0.9263D+00    0.8790D+00   -0.6415D-02   400
  0.9355D+00    0.8802D+00   -0.6423D-02   400
  0.9447D+00    0.8812D+00   -0.6431D-02   400
  0.9541D+00    0.8821D+00   -0.6437D-02   400
  0.9635D+00    0.8828D+00   -0.6442D-02   400
  0.9729D+00    0.8834D+00   -0.6446D-02   400
  0.9825D+00    0.8837D+00   -0.6449D-02   400
  0.9921D+00    0.8840D+00   -0.6451D-02   400
  0.1002D+01    0.8840D+00   -0.6451D-02   400
  0.1012D+01    0.8839D+00   -0.6450D-02   400
  0.1021D+01    0.8836D+00   -0.6448D-02   400
  0.1031D+01    0.8831D+00   -0.6445D-02   400
  0.1041D+01    0.8825D+00   -0.6440D-02   400
  0.1052D+01    0.8817D+00   -0.6435D-02   400
  0.1062D+01    0.8808D+00   -0.6428D-02   400
  0.1072D+01    0.8796D+00   -0.6419D-02   400
  0.1082D+01    0.8783D+00   -0.6410D-02   400
  0.1093D+01    0.8769D+00   -0.6399D-02   400
  0.1103D+01    0.8752D+00   -0.6387D-02   400
  0.1114D+01    0.8734D+00   -0.6374D-02   400
  0.1124D+01    0.8714D+00   -0.6360D-02   400
  0.1135D+01    0.8693D+00   -0.6344D-02   400
  0.1146D+01    0.8670D+00   -0.6327D-02   400
  0.1157D+01    0.8645D+00   -0.6309D-02   400
  0.1168D+01    0.8618D+00   -0.6289D-02   400
  0.1179D+01    0.8590D+00   -0.6269D-02   400
  0.1190D+01    0.8560D+00   -0.6247D-02   400
  0.1201D+01    0.8529D+00   -0.6224D-02   400
  0.1213D+01    0.8496D+00   -0.6200D-02   400
  0.1224D+01    0.8461D+00   -0.6175D-02   400
  0.1236D+01    0.8425D+00   -0.6148D-02   400
  0.1247D+01    0.8387D+00   -0.6120D-02   400
  0.1259D+01    0.8347D+00   -0.6092D-02   400
  0.1271D+01    0.8306D+00   -0.6062D-02   400
  0.1283D+01    0.8263D+00   -0.6030D-02   400
  0.1295D+01    0.8219D+00   -0.5998D-02   400
  0.1307D+01    0.8173D+00   -0.5965D-02   400
  0.1319D+01    0.8126D+00   -0.5930D-02   400
  0.1331D+01    0.8077D+00   -0.5895D-02   400
  0.1343D+01    0.8027D+00   -0.5858D-02   400
  0.1356D+01    0.7976D+00   -0.5820D-02   400
  0.1368D+01    0.7923D+00   -0.5782D-02   400
  0.1381D+01    0.7868D+00   -0.5742D-02   400
  0.1394D+01    0.7812D+00   -0.5701D-02   400
  0.1407D+01    0.7755D+00   -0.5660D-02   400
  0.1420D+01    0.7697D+00   -0.5617D-02   400
  0.1433D+01    0.7637D+00   -0.5573D-02   400
  0.1446D+01    0.7576D+00   -0.5529D-02   400
  0.1459D+01    0.7514D+00   -0.5483D-02   400
  0.1472D+01    0.7450D+00   -0.5437D-02   400
  0.1486D+01    0.7386D+00   -0.5390D-02   400
  0.1499D+01    0.7320D+00   -0.5342D-02   400
  0.1513D+01    0.7253D+00   -0.5293D-02   400
  0.1527D+01    0.7185D+00   -0.5243D-02   400
  0.1541D+01    0.7116D+00   -0.5193D-02   400
  0.1555D+01    0.7046D+00   -0.5142D-02   400
  0.1569D+01    0.6974D+00   -0.5090D-02   400
  0.1583D+01    0.6902D+00   -0.5037D-02   400
  0.1597D+01    0.6829D+00   -0.4984D-02   400
  0.1612D+01    0.6756D+00   -0.4930D-02   400
  0.1626D+01    0.6681D+00   -0.4875D-02   400
  0.1641D+01    0.6605D+00   -0.4820D-02   400
  0.1656D+01    0.6529D+00   -0.4765D-02   400
  0.1671D+01    0.6452D+00   -0.4708D-02   400
  0.1686D+01    0.6374D+00   -0.4652D-02   400
  0.1701D+01    0.6296D+00   -0.4594D-02   400
  0.1716D+01    0.6217D+00   -0.4537D-02   400
  0.1731D+01    0.6137D+00   -0.4479D-02   400
  0.1747D+01    0.6057D+00   -0.4420D-02   400
  0.1762D+01    0.5976D+00   -0.4361D-02   400
  0.1778D+01    0.5895D+00   -0.4302D-02   400
  0.1794D+01    0.5813D+00   -0.4242D-02   400
  0.1810D+01    0.5731D+00   -0.4182D-02   400
  0.1826D+01    0.5649D+00   -0.4122D-02   400
  0.1842D+01    0.5566D+00   -0.4062D-02   400
  0.1859D+01    0.5483D+00   -0.4001D-02   400
  0.1875D+01    0.5400D+00   -0.3941D-02   400
  0.1892D+01    0.5316D+00   -0.3880D-02   400
  0.1908D+01    0.5233D+00   -0.3819D-02   400
