OOGRWF


  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.5000D+00


      r          p( 1s )       q( 1s )
  0.3154D+01    0.2692D+00   -0.9822D-03
  0.3187D+01    0.2633D+00   -0.9606D-03
  0.3219D+01    0.2574D+00   -0.9392D-03
  0.3252D+01    0.2516D+00   -0.9181D-03
  0.3286D+01    0.2459D+00   -0.8971D-03
  0.3319D+01    0.2402D+00   -0.8764D-03
  0.3353D+01    0.2346D+00   -0.8560D-03
  0.3387D+01    0.2290D+00   -0.8357D-03
  0.3421D+01    0.2236D+00   -0.8158D-03
  0.3456D+01    0.2182D+00   -0.7960D-03
  0.3490D+01    0.2128D+00   -0.7765D-03
  0.3526D+01    0.2075D+00   -0.7573D-03
  0.3561D+01    0.2023D+00   -0.7383D-03
  0.3597D+01    0.1972D+00   -0.7196D-03
  0.3632D+01    0.1922D+00   -0.7011D-03
  0.3669D+01    0.1872D+00   -0.6830D-03
  0.3705D+01    0.1823D+00   -0.6650D-03
  0.3742D+01    0.1774D+00   -0.6474D-03
  0.3779D+01    0.1727D+00   -0.6300D-03
  0.3816D+01    0.1680D+00   -0.6129D-03
  0.3854D+01    0.1634D+00   -0.5961D-03
  0.3892D+01    0.1588D+00   -0.5796D-03
  0.3930D+01    0.1544D+00   -0.5633D-03
  0.3969D+01    0.1500D+00   -0.5474D-03
  0.4007D+01    0.1457D+00   -0.5317D-03
  0.4046D+01    0.1415D+00   -0.5163D-03
  0.4086D+01    0.1373D+00   -0.5011D-03
  0.4126D+01    0.1333D+00   -0.4863D-03
  0.4166D+01    0.1293D+00   -0.4718D-03
  0.4206D+01    0.1254D+00   -0.4575D-03
  0.4247D+01    0.1215D+00   -0.4435D-03
  0.4288D+01    0.1178D+00   -0.4298D-03
  0.4329D+01    0.1141D+00   -0.4164D-03
  0.4371D+01    0.1105D+00   -0.4032D-03
  0.4413D+01    0.1070D+00   -0.3904D-03
  0.4455D+01    0.1035D+00   -0.3778D-03
  0.4497D+01    0.1002D+00   -0.3655D-03
  0.4540D+01    0.9688D-01   -0.3535D-03
  0.4584D+01    0.9366D-01   -0.3417D-03
  0.4627D+01    0.9051D-01   -0.3303D-03
  0.4671D+01    0.8744D-01   -0.3191D-03
  0.4716D+01    0.8445D-01   -0.3081D-03
  0.4760D+01    0.8152D-01   -0.2975D-03
  0.4805D+01    0.7867D-01   -0.2871D-03
  0.4851D+01    0.7590D-01   -0.2769D-03
  0.4896D+01    0.7319D-01   -0.2670D-03
  0.4942D+01    0.7055D-01   -0.2574D-03
  0.4989D+01    0.6798D-01   -0.2480D-03
  0.5036D+01    0.6548D-01   -0.2389D-03
  0.5083D+01    0.6305D-01   -0.2301D-03
  0.5130D+01    0.6069D-01   -0.2214D-03
  0.5178D+01    0.5839D-01   -0.2130D-03
  0.5226D+01    0.5616D-01   -0.2049D-03
  0.5275D+01    0.5399D-01   -0.1970D-03
  0.5324D+01    0.5188D-01   -0.1893D-03
  0.5374D+01    0.4984D-01   -0.1819D-03
  0.5423D+01    0.4786D-01   -0.1746D-03
  0.5473D+01    0.4594D-01   -0.1676D-03
  0.5524D+01    0.4408D-01   -0.1608D-03
  0.5575D+01    0.4227D-01   -0.1542D-03
  0.5626D+01    0.4053D-01   -0.1479D-03
  0.5678D+01    0.3884D-01   -0.1417D-03
  0.5730D+01    0.3720D-01   -0.1357D-03
  0.5783D+01    0.3562D-01   -0.1300D-03
  0.5836D+01    0.3409D-01   -0.1244D-03
  0.5889D+01    0.3261D-01   -0.1190D-03
  0.5943D+01    0.3119D-01   -0.1138D-03
  0.5997D+01    0.2981D-01   -0.1088D-03
  0.6052D+01    0.2848D-01   -0.1039D-03
  0.6107D+01    0.2720D-01   -0.9924D-04
  0.6163D+01    0.2596D-01   -0.9473D-04
  0.6219D+01    0.2477D-01   -0.9039D-04
  0.6275D+01    0.2363D-01   -0.8621D-04
  0.6332D+01    0.2252D-01   -0.8218D-04
  0.6389D+01    0.2146D-01   -0.7831D-04
  0.6447D+01    0.2044D-01   -0.7459D-04
  0.6505D+01    0.1946D-01   -0.7101D-04
  0.6564D+01    0.1852D-01   -0.6757D-04
  0.6623D+01    0.1761D-01   -0.6426D-04
  0.6682D+01    0.1674D-01   -0.6109D-04
  0.6742D+01    0.1591D-01   -0.5805D-04
  0.6803D+01    0.1511D-01   -0.5513D-04
  0.6864D+01    0.1434D-01   -0.5234D-04
  0.6925D+01    0.1361D-01   -0.4966D-04
  0.6987D+01    0.1291D-01   -0.4710D-04
  0.7050D+01    0.1223D-01   -0.4464D-04
  0.7112D+01    0.1159D-01   -0.4229D-04
  0.7176D+01    0.1098D-01   -0.4005D-04
  0.7240D+01    0.1039D-01   -0.3791D-04
  0.7304D+01    0.9828D-02   -0.3586D-04
  0.7369D+01    0.9292D-02   -0.3391D-04
  0.7434D+01    0.8782D-02   -0.3204D-04
  0.7500D+01    0.8294D-02   -0.3026D-04
  0.7567D+01    0.7830D-02   -0.2857D-04
  0.7634D+01    0.7388D-02   -0.2696D-04
  0.7701D+01    0.6967D-02   -0.2542D-04
  0.7769D+01    0.6567D-02   -0.2396D-04
  0.7837D+01    0.6186D-02   -0.2257D-04
  0.7907D+01    0.5824D-02   -0.2125D-04
  0.7976D+01    0.5481D-02   -0.2000D-04
  0.8046D+01    0.5154D-02   -0.1881D-04
  0.8117D+01    0.4845D-02   -0.1768D-04
  0.8188D+01    0.4551D-02   -0.1661D-04
  0.8260D+01    0.4273D-02   -0.1559D-04
  0.8332D+01    0.4010D-02   -0.1463D-04
  0.8405D+01    0.3760D-02   -0.1372D-04
  0.8479D+01    0.3525D-02   -0.1286D-04
  0.8553D+01    0.3302D-02   -0.1205D-04
  0.8627D+01    0.3091D-02   -0.1128D-04
  0.8703D+01    0.2892D-02   -0.1055D-04
  0.8778D+01    0.2704D-02   -0.9867D-05
  0.8855D+01    0.2527D-02   -0.9221D-05
  0.8932D+01    0.2360D-02   -0.8612D-05
  0.9009D+01    0.2203D-02   -0.8038D-05
  0.9087D+01    0.2055D-02   -0.7498D-05
  0.9166D+01    0.1916D-02   -0.6990D-05
  0.9246D+01    0.1785D-02   -0.6512D-05
  0.9326D+01    0.1662D-02   -0.6063D-05
  0.9406D+01    0.1546D-02   -0.5642D-05
  0.9488D+01    0.1438D-02   -0.5246D-05
  0.9570D+01    0.1336D-02   -0.4875D-05
  0.9652D+01    0.1241D-02   -0.4527D-05
  0.9735D+01    0.1152D-02   -0.4202D-05
  0.9819D+01    0.1068D-02   -0.3897D-05
  0.9904D+01    0.9900D-03   -0.3612D-05
  0.9989D+01    0.9169D-03   -0.3346D-05
  0.1007D+02    0.8487D-03   -0.3097D-05
  0.1016D+02    0.7851D-03   -0.2864D-05
  0.1025D+02    0.7257D-03   -0.2648D-05
  0.1034D+02    0.6703D-03   -0.2446D-05
  0.1043D+02    0.6188D-03   -0.2258D-05
  0.1051D+02    0.5708D-03   -0.2083D-05
  0.1060D+02    0.5261D-03   -0.1920D-05
  0.1069D+02    0.4846D-03   -0.1768D-05
  0.1079D+02    0.4461D-03   -0.1628D-05
  0.1088D+02    0.4103D-03   -0.1497D-05
  0.1097D+02    0.3772D-03   -0.1376D-05
  0.1106D+02    0.3464D-03   -0.1264D-05
  0.1116D+02    0.3179D-03   -0.1160D-05
  0.1125D+02    0.2916D-03   -0.1064D-05
  0.1135D+02    0.2672D-03   -0.9750D-06
  0.1145D+02    0.2447D-03   -0.8929D-06
  0.1154D+02    0.2239D-03   -0.8170D-06
  0.1164D+02    0.2047D-03   -0.7470D-06
  0.1174D+02    0.1871D-03   -0.6825D-06
  0.1184D+02    0.1708D-03   -0.6231D-06
  0.1194D+02    0.1558D-03   -0.5684D-06
  0.1204D+02    0.1420D-03   -0.5181D-06
  0.1214D+02    0.1293D-03   -0.4719D-06
  0.1225D+02    0.1177D-03   -0.4294D-06
  0.1235D+02    0.1070D-03   -0.3905D-06
  0.1245D+02    0.9724D-04   -0.3548D-06
  0.1256D+02    0.8827D-04   -0.3221D-06
  0.1266D+02    0.8007D-04   -0.2922D-06
  0.1277D+02    0.7257D-04   -0.2648D-06
  0.1288D+02    0.6572D-04   -0.2398D-06
  0.1299D+02    0.5946D-04   -0.2170D-06
  0.1310D+02    0.5375D-04   -0.1961D-06
  0.1321D+02    0.4855D-04   -0.1772D-06
  0.1332D+02    0.4382D-04   -0.1599D-06
  0.1343D+02    0.3951D-04   -0.1442D-06
  0.1354D+02    0.3559D-04   -0.1299D-06
  0.1366D+02    0.3204D-04   -0.1169D-06
  0.1377D+02    0.2881D-04   -0.1051D-06
  0.1389D+02    0.2589D-04   -0.9445D-07
  0.1400D+02    0.2324D-04   -0.8479D-07
  0.1412D+02    0.2084D-04   -0.7604D-07
  0.1424D+02    0.1867D-04   -0.6813D-07
  0.1436D+02    0.1672D-04   -0.6099D-07
  0.1448D+02    0.1495D-04   -0.5455D-07
  0.1460D+02    0.1336D-04   -0.4874D-07
  0.1472D+02    0.1192D-04   -0.4351D-07
  0.1484D+02    0.1063D-04   -0.3880D-07
  0.1497D+02    0.9475D-05   -0.3457D-07
  0.1509D+02    0.8434D-05   -0.3077D-07
  0.1522D+02    0.7499D-05   -0.2736D-07
  0.1534D+02    0.6662D-05   -0.2431D-07
  0.1547D+02    0.5912D-05   -0.2157D-07
  0.1560D+02    0.5242D-05   -0.1913D-07
  0.1573D+02    0.4642D-05   -0.1694D-07
  0.1586D+02    0.4107D-05   -0.1499D-07
  0.1599D+02    0.3630D-05   -0.1325D-07
  0.1612D+02    0.3206D-05   -0.1170D-07
  0.1626D+02    0.2827D-05   -0.1032D-07
  0.1639D+02    0.2491D-05   -0.9090D-08
  0.1653D+02    0.2193D-05   -0.8001D-08
  0.1667D+02    0.1928D-05   -0.7035D-08
  0.1680D+02    0.1693D-05   -0.6179D-08
  0.1694D+02    0.1486D-05   -0.5421D-08
  0.1708D+02    0.1302D-05   -0.4751D-08
